Title,Price,Location
"VYMEŇ SUSEDA! – VÝNIMOČNÝ KLIMATIZOVANÝ 2 IZB.  BYT S DVOMA BALKÓNMI , LABUTIA UL., BA V, PETRŽALKA",700 €/mes.,"Labutia, Bratislava-Petržalka, okres Bratislava V"
"MIKELSSEN - SKY PARK - na prenájom kompletne zariadený 2 izbový byt s loggiou, pivnicou a parkovacím miestom",900 €/mes.,"Čulenova 5, Bratislava-Staré Mesto, okres Bratislava I"
MIKELSSEN - Na prenájom kompletne zariadený 2 izbový byt s lodžiou a garážovým státím,800 €/mes.,"Čulenova 5, Bratislava-Staré Mesto, okres Bratislava I"
"Na prenájom 3-izbový byt v centre mesta – Justičná ulica, parkovanie, klimatizácia, balkón",950 €/mes.,"Justičná, Bratislava-Staré Mesto, okres Bratislava I"
R U S O V S K Á C E S T A |  2 izbový byt 47 m² + terasa  | BAV,790 €/mes.,"Rusovská cesta, Bratislava-Petržalka, okres Bratislava V"
"Luxusný 4-izbový mezonet s dvoma terasami, balkónom, parkovaním v Starom Meste - Žilinská",2900 €/mes.,"Žilinská, Bratislava-Staré Mesto, okres Bratislava I"
PRENÁJOM︱Moderný a priestranný - 3i byt v novostavbe Rozeta,900 €/mes.,"Klincová, Bratislava-Ružinov, okres Bratislava II"
Nadštandardný 4 izbový byt so saunou v projekte Tri veže na prenájom,1700 €/mes.,"Bajkalská 9/A, Bratislava-Nové Mesto, okres Bratislava III"
"Na prenájom dizajnový a zariadený 2,5 izb. byt s balkónom a výhľadom na Dunaj - VYDRICA",1200 €/mes.,"Žižkova, Bratislava-Staré Mesto, okres Bratislava I"
FRANK ZICHER - Prenajímame zrekonštruovaný 1 izbový byt,520 €/mes.,"Slatinská, Bratislava-Vrakuňa, okres Bratislava II"
"FRANK ZICHER - Prenajímame ešte neobývaný, zariadený, 3-izbový byt v rezidenčnom projekte Bory Nový Dvor",850 €/mes.,"Michala Bučiča, Bratislava-Devínska Nová Ves, okres Bratislava IV"
Arvin & Benet | Priestranný 3i byt v Slávičom údolí s veľkou terasou a pivnicou,880 €/mes.,"Slávičie údolie, Bratislava-Staré Mesto, okres Bratislava I"
PRENÁJOM: 4-izbový byt v lokalite Dlhé Diely s parkovaním,1350 €/mes.,"Hany Meličkovej 35, Bratislava-Karlova Ves, okres Bratislava IV"
"Luxusný 4-izbový mezonet s krbom, terasou a garážovým státím na prenájom – Slanec, Krasňany",1990 €/mes.,"Horská, Bratislava-Vajnory, okres Bratislava III"
"2 izbový byt s predzáhradkou, na Vidlicovej ul., v Bratislave, mestská časť Nové Mesto.",850 €/mes.,"Vidlicová, Bratislava-Nové Mesto, okres Bratislava III"
"Prenájom MODERNÝ 3-izb. byt s loggiou, KLIMATIZÁCIA, pri Draždiaku, SAMOSTATNÉ izby, príjemné prostredie, výborná lokalita Petržalky – Topoľčianska ulica",750 €/mes.,"Topoľčianska, Bratislava-Petržalka, okres Bratislava V"
"PRENÁJOM︱SKY PARK Slnečný 2i byt s výhľadom na mesto, 4. veža",1100 €/mes.,"Bottova, Bratislava-Staré Mesto, okres Bratislava I"
PRENÁJOM - 1 izbový zariadený byt na ulici Antolská s výhľadom na jazero Draždiak,590 €/mes.,"Antolská 4, Bratislava-Petržalka, okres Bratislava V"
"Na prenájom 2 izbový byt, BA-Staré Mesto, ul. Žilinská",1100 €/mes.,"Žilinská, Bratislava-Staré Mesto, okres Bratislava I"
"Neibrs | Prenájom 1,5 izbový štýlový a svetlý byt v novostavbe Dúbrava, Pri Hrubej lúke v bratislavskej Dúbravke",560 €/mes.,"Pri Hrubej lúke, Bratislava-Dúbravka, okres Bratislava IV"
"LEXXUS | Úplne nový zariadený 2 izb. byt v obľúbenej Rezidencii Horský park, Gaštanová ul.",900 €/mes.,"Gaštanová, Bratislava-Staré Mesto, okres Bratislava I"
Unikátny luxusný 4 izbový byt na hranici Horského parku,3450 €/mes.,"Majakovského, Bratislava-Staré Mesto, okres Bratislava I"
Luxusný 4 izbový byt s terasou a záhradou v Starom Meste,Cena dohodou,"Bartókova 2A, Bratislava-Staré Mesto, okres Bratislava I"
NIDAL: Prenájom - Veľký 3 izbový byt so záhradou v Hradnom údolí s výhľadom na Dunaj,2100 €/mes.,"Hradné údolie, Bratislava-Staré Mesto, okres Bratislava I"
"NIDAL: Prenájom - Krásny, nový 2 izbový byt s loggiou v novostavbe na Bazovej ulici pri Nivách Bratislave",850 €,"Bazová 6, Bratislava-Ružinov, okres Bratislava II"
NIDAL: Prenájom - Štýlový 2 izbový byt s loggiou v exkluzívnom projekte Sky Park v bratislavskom downtowne,850 €/mes.,"Čulenova, Bratislava-Staré Mesto, okres Bratislava I"
NIDAL: Prenájom - Pekný zariadený 2 izbový byt s balkónom a parkingom v novostavbe Starý Háj pri Sade Janka Kráľa,700 €/mes.,"Lužná 19, Bratislava-Petržalka, okres Bratislava V"
"NIDAL: Prenájom - Veľký 3 izbový apartmánový byt s nádhernou záhradou, terasou a parkingom na Vlčkovej v Starom Meste pod Slavínom",1800 €/mes.,"Vlčkova 12, Bratislava-Staré Mesto, okres Bratislava I"
"U NÁS !!! EXKLUZÍVNY 3i BYT ( 98 m2 ), 3 X NEPRIECHODNÁ IZBA, REKONŠTRUKCIA, PALISÁDY",1200 €/mes.,"Palisády, Bratislava-Staré Mesto, okres Bratislava I"
SKY PARK - Luxusný 2-izbový byt s výhľadom na hrad,1000 €/mes.,"Továrenská, Bratislava-Staré Mesto, okres Bratislava I"
